Hole,,MnPS3,,CrPS4,,NiPS3,,FePS3,,
Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,
1415,27.13776588,1415,2.745767355,1415,0.9112517238,1415,0.2928631604,1415,0.3795142174,
1412,27.16841125,1412,2.771156073,1412,0.903277874,1412,0.2867865562,1412,0.3675181568,
1409,27.34499359,1409,2.755354643,1409,0.912989974,1409,0.2851444185,1409,0.367772162,
1406,27.23733521,1406,2.737243176,1406,0.9198299646,1406,0.2790675163,1406,0.3551164567,
1403,27.26354599,1403,2.747208118,1403,0.9238167405,1403,0.2842943966,1403,0.347402513,
1400,27.25020409,1400,2.731478214,1400,0.9246929288,1400,0.270626992,1400,0.338267684,
1397,27.21023941,1397,2.764716864,1397,0.9110721946,1397,0.262165755,1397,0.336743325,
1394,27.15808678,1394,2.748235226,1394,0.8832710981,1394,0.2696701884,1394,0.3287447095,
1391,27.13426971,1391,2.748236656,1391,0.873608768,1391,0.2684125304,1391,0.3330869079,
1388,27.50415421,1388,2.71715045,1388,0.8768619299,1388,0.2665532827,1388,0.3295930028,
1385,27.57929039,1385,2.66780138,1385,0.8753246665,1385,0.2667691112,1385,0.3170905411,
1382,27.63593864,1382,2.67914629,1382,0.8809468746,1382,0.2553334832,1382,0.310788691,
1379,27.45754051,1379,2.7054286,1379,0.8846169114,1379,0.2598593831,1379,0.3145769536,
1376,27.43245316,1376,2.793113708,1376,0.8860015273,1376,0.2619135082,1376,0.3050094843,
1373,27.46889305,1373,2.798971653,1373,0.8639259934,1373,0.2685454786,1373,0.3162530661,
1370,27.66382599,1370,2.80474782,1370,0.85189116,1370,0.2658197284,1370,0.3043984771,
1367,27.72091103,1367,2.776281595,1367,0.8522909284,1367,0.2612537444,1367,0.3067101836,
1364,27.74505043,1364,2.709019184,1364,0.8570642471,1364,0.2595857084,1364,0.3058059812,
1361,27.90564537,1361,2.680185318,1361,0.8590168357,1361,0.2581532896,1361,0.3046557009,
1358,27.91028976,1358,2.673550844,1358,0.8733158708,1358,0.2618516684,1358,0.3033768833,
1355,27.81394768,1355,2.717535019,1355,0.8732034564,1355,0.2566942573,1355,0.3091287017,
1352,27.84774971,1352,2.749490261,1352,0.8694980145,1352,0.2613569498,1352,0.2839609385,
1349,27.86689186,1349,2.758210182,1349,0.8440418243,1349,0.247568354,1349,0.2882680297,
1346,27.9274025,1346,2.766216278,1346,0.8350205421,1346,0.2553480268,1346,0.2926971912,
1343,27.94693947,1343,2.72814393,1343,0.8310043216,1343,0.2529348731,1343,0.2781845331,
1340,27.88235474,1340,2.710803986,1340,0.8317108154,1340,0.2422272712,1340,0.2771974206,
1337,27.77599907,1337,2.697591066,1337,0.8373664021,1337,0.2411825806,1337,0.2808461785,
1334,27.57675362,1334,2.713381767,1334,0.8365773559,1334,0.2464980632,1334,0.2810036838,
1331,27.57002449,1331,2.720965624,1331,0.8343595862,1331,0.2404718697,1331,0.2723256946,
1328,27.59708786,1328,2.708753109,1328,0.8349801302,1328,0.2413341105,1328,0.2680411637,
1325,27.69903564,1325,2.710126162,1325,0.8185709119,1325,0.2374520749,1325,0.2708595395,
1322,27.7176342,1322,2.689342022,1322,0.8097196817,1322,0.2423961014,1322,0.2685965598,
1319,27.69395065,1319,2.687078476,1319,0.8078337908,1319,0.2428313941,1319,0.2626365721,
1316,27.68130684,1316,2.694359541,1316,0.8139252663,1316,0.2356949747,1316,0.2702246904,
1313,27.46655273,1313,2.722723484,1313,0.8125442863,1313,0.2324137837,1313,0.257242173,
1310,27.44178391,1310,2.745483875,1310,0.8182070255,1310,0.2391187996,1310,0.2575602233,
1307,27.49601936,1307,2.719786644,1307,0.817170918,1307,0.2370805889,1307,0.2652952075,
1304,27.72267532,1304,2.718332291,1304,0.8174773455,1304,0.2367325127,1304,0.2695120275,
1301,27.81300163,1301,2.681927204,1301,0.8197749257,1301,0.2425608933,1301,0.2713491321,
1298,27.79007912,1298,2.665246964,1298,0.806055665,1298,0.2312940508,1298,0.258158654,
1295,27.75944519,1295,2.680809498,1295,0.8203666806,1295,0.2430840582,1295,0.2515138984,
1292,27.61550522,1292,2.721336126,1292,0.8368697166,1292,0.2299553901,1292,0.2556799352,
1289,27.643507,1289,2.747652292,1289,0.8357743621,1289,0.2326235473,1289,0.262952745,
1286,27.61944008,1286,2.739798069,1286,0.8267199397,1286,0.2319348454,1286,0.2458560914,
1283,27.75812531,1283,2.734262228,1283,0.832980752,1283,0.2415947616,1283,0.261518836,
1280,27.76985168,1280,2.669017315,1280,0.8257713914,1280,0.2288115174,1280,0.2598711252,
1277,27.79691505,1277,2.654411554,1277,0.8191463351,1277,0.2275797725,1277,0.2555274963,
1274,27.80303383,1274,2.661602974,1274,0.831535995,1274,0.2265647054,1274,0.2519943118,
1271,27.63529778,1271,2.688162565,1271,0.8215855956,1271,0.228209123,1271,0.2489860207,
1268,27.6057148,1268,2.746785879,1268,0.8163702488,1268,0.2264132053,1268,0.2609635592,
1265,27.58324051,1265,2.759168148,1265,0.8094888926,1265,0.229897216,1265,0.2596825361,
1262,27.73951912,1262,2.747335196,1262,0.7997969985,1262,0.2224531919,1262,0.2467978001,
1259,27.77913475,1259,2.696785927,1259,0.7991383076,1259,0.2337403148,1259,0.2585194707,
1256,27.8185997,1256,2.684141397,1256,0.7843089104,1256,0.2320795953,1256,0.2611966431,
1253,27.79272842,1253,2.660114527,1253,0.7772008777,1253,0.2243903428,1253,0.2386344671,
1250,27.64256859,1250,2.692166805,1250,0.7693272829,1250,0.2245230824,1250,0.2499836087,
1247,27.58963013,1247,2.744133234,1247,0.7683577538,1247,0.2305236459,1247,0.2482754439,
1244,27.59706116,1244,2.740006924,1244,0.7618325949,1244,0.2293517143,1244,0.2500013709,
1241,27.72789574,1241,2.742722511,1241,0.7617390156,1241,0.2238554209,1241,0.2476653755,
1238,27.79585457,1238,2.714291573,1238,0.7486881614,1238,0.2263724506,1238,0.2434898466,
1235,27.82400894,1235,2.68203783,1235,0.7472475171,1235,0.2206627727,1235,0.2384078503,
1232,27.78869629,1232,2.670017004,1232,0.7505255938,1232,0.2259562314,1232,0.236961782,
1229,27.65073776,1229,2.684525251,1229,0.7530004978,1229,0.2193582654,1229,0.2357670963,
1226,27.58029175,1226,2.727247477,1226,0.7458922267,1226,0.2155176103,1226,0.2446035445,
1223,27.6047554,1223,2.737800121,1223,0.7388589382,1223,0.2309184223,1223,0.2444301248,
1220,27.71310234,1220,2.734470844,1220,0.7322034836,1220,0.2175010443,1220,0.2334824353,
1217,27.81076813,1217,2.723131895,1217,0.7212740183,1217,0.2117416859,1217,0.2358791381,
1214,27.83051491,1214,2.700424433,1214,0.7207475901,1214,0.2240705788,1214,0.2450282872,
1211,27.81471062,1211,2.684928656,1211,0.7064831853,1211,0.2197109908,1211,0.2394056618,
1208,27.6783905,1208,2.690718412,1208,0.6926127672,1208,0.2192365527,1208,0.2387289852,
1205,27.58279228,1205,2.738527536,1205,0.6885008216,1205,0.2181769311,1205,0.2408287674,
1202,27.58119965,1202,2.742313385,1202,0.6862068772,1202,0.2184417546,1202,0.2283096313,
1199,27.66352081,1199,2.732828379,1199,0.6735200286,1199,0.2150360495,1199,0.2508538663,
1196,27.57922935,1196,2.663108826,1196,0.6741694808,1196,0.2050699145,1196,0.239318639,
