MnPS3,,Hole,,CrPS4,,NiPS3,,FePS3,,
Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,
1247,27.9886837,1247,259.2400208,1247,7.634139061,1247,2.627182007,1247,2.644476414,
1244,28.10461426,1244,259.3650513,1244,7.656816959,1244,2.58975935,1244,2.503618956,
1241,28.09692574,1241,259.7697754,1241,7.49603796,1241,2.576347589,1241,2.539150715,
1238,28.25287056,1238,260.3928528,1238,7.447189808,1238,2.620492458,1238,2.473650694,
1235,28.34908104,1235,260.6358948,1235,7.43785429,1235,2.590708017,1235,2.509778738,
1232,28.27939415,1232,260.9845581,1232,7.369643211,1232,2.614251614,1232,2.474739313,
1229,28.22142029,1229,261.09198,1229,7.417233944,1229,2.548620701,1229,2.457411289,
1226,28.14266396,1226,261.432251,1226,7.343618393,1226,2.540438175,1226,2.590381861,
1223,28.13006401,1223,261.5675964,1223,7.365618706,1223,2.59586978,1223,2.504386663,
1220,28.18227959,1220,261.9166565,1220,7.309161663,1220,2.512725353,1220,2.504934072,
1217,28.34066391,1217,262.5533447,1217,7.201534271,1217,2.574862719,1217,2.456077576,
1214,28.39891052,1214,262.8204041,1214,7.161054611,1214,2.55517745,1214,2.473617077,
1211,28.44105148,1211,263.3141479,1211,7.138102531,1211,2.566003799,1211,2.446069717,
1208,28.33274078,1208,263.5952759,1208,7.035542488,1208,2.526604652,1208,2.461586952,
1205,28.30068207,1205,263.7877808,1205,6.994394779,1205,2.50517416,1205,2.501683712,
1202,28.3074646,1202,263.807373,1202,6.890405655,1202,2.556515217,1202,2.450596333,
1199,28.27946472,1199,264.016571,1199,6.83690691,1199,2.506521225,1199,2.462268353,
1196,27.5657711,1196,256.8808594,1196,6.520239353,1196,2.462290287,1196,2.382819653,
1193,27.59563065,1193,257.0075684,1193,6.537110329,1193,2.472456932,1193,2.348282814,
1190,27.58914757,1190,256.9285278,1190,6.517142773,1190,2.430871487,1190,2.32672739,
1187,27.58415985,1187,256.9343872,1187,6.483921528,1187,2.44272995,1187,2.366665363,
1184,27.54698944,1184,257.1590576,1184,6.459100723,1184,2.442092896,1184,2.304579973,
1181,27.59837532,1181,257.3396301,1181,6.412631989,1181,2.412875414,1181,2.275925875,
1178,27.51581001,1178,257.4237366,1178,6.369446278,1178,2.486098528,1178,2.316975117,
1175,27.5745697,1175,257.6654968,1175,6.332369804,1175,2.428382158,1175,2.300143957,
1172,27.59612274,1172,257.6655884,1172,6.352608681,1172,2.407085657,1172,2.376968145,
1169,27.56975555,1169,257.8825073,1169,6.364715099,1169,2.39028573,1169,2.313404799,
1166,27.55691719,1166,257.9199524,1166,6.345947742,1166,2.350862026,1166,2.337984085,
1163,27.56876945,1163,258.1418152,1163,6.360653877,1163,2.336112261,1163,2.301925898,
1160,27.49813843,1160,258.2313232,1160,6.396388054,1160,2.411761284,1160,2.269000769,
1157,27.55726242,1157,258.6613464,1157,6.383702278,1157,2.401070595,1157,2.293430805,
1154,27.54044914,1154,258.6443176,1154,6.406847954,1154,2.355967283,1154,2.323468685,
1151,27.38393211,1151,258.3681946,1151,6.383086205,1151,2.372689247,1151,2.339323997,
1148,27.44453049,1148,258.6572266,1148,6.402122021,1148,2.401725769,1148,2.319578648,
1145,27.4117775,1145,258.7449646,1145,6.509759903,1145,2.350266933,1145,2.232188702,
1142,27.4440136,1142,258.4443359,1142,6.525100708,1142,2.347705603,1142,2.227340937,
1139,27.48164749,1139,258.6501465,1139,6.535763264,1139,2.288120747,1139,2.223272562,
1136,27.43563271,1136,258.9729919,1136,6.466559887,1136,2.31158185,1136,2.224281549,
1133,27.40710449,1133,259.2460327,1133,6.453206539,1133,2.309258938,1133,2.237171173,
1130,27.3332634,1130,259.0233459,1130,6.494443893,1130,2.34435153,1130,2.224364758,
1127,27.22315788,1127,258.4835205,1127,6.526771069,1127,2.304377317,1127,2.234127522,
1124,27.28682137,1124,258.3182373,1124,6.50756216,1124,2.315982342,1124,2.183550596,
1121,27.31020355,1121,258.7814331,1121,6.397353649,1121,2.243023396,1121,2.224670649,
