Hole,,MnPS3,,CrPS4,,NiPS3,,FePS3,,
Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,
1229,230.4509125,1229,23.27962685,1229,7.085137844,1229,2.379051685,1229,2.309780836,
1226,231.30896,1226,23.25066376,1226,7.087005138,1226,2.341515779,1226,2.277527094,
1223,231.7433624,1223,23.17923355,1223,7.04883337,1223,2.415889025,1223,2.243423223,
1220,231.9821777,1220,23.30454636,1220,6.990043163,1220,2.418831825,1220,2.314177036,
1217,232.1169128,1217,23.33257866,1217,6.951891422,1217,2.294583082,1217,2.336845636,
1214,231.3657074,1214,23.48974228,1214,6.894677162,1214,2.386682034,1214,2.309072256,
1211,231.7021179,1211,23.62543106,1211,6.797430038,1211,2.375859499,1211,2.291977882,
1208,231.985611,1208,23.53507996,1208,6.794345379,1208,2.317676306,1208,2.290943146,
1205,232.8828735,1205,23.480093,1205,6.67641449,1205,2.328256607,1205,2.273658276,
1202,233.6641846,1202,23.39761353,1202,6.608999729,1202,2.419529438,1202,2.258994102,
1199,233.9556427,1199,23.44950676,1199,6.547227383,1199,2.410082579,1199,2.235772371,
1196,226.6126404,1196,22.92864799,1196,6.339421749,1196,2.256359339,1196,2.18873024,
1193,226.9076843,1193,22.9579258,1193,6.329342842,1193,2.265430927,1193,2.167646646,
1190,227.6578217,1190,22.85821533,1190,6.3433671,1190,2.251801729,1190,2.179274797,
1187,228.0411682,1187,22.84876633,1187,6.249691486,1187,2.258021355,1187,2.143475056,
1184,227.9586029,1184,22.84542084,1184,6.149628162,1184,2.331297398,1184,2.178177834,
1181,227.8222809,1181,22.84101677,1181,6.140125751,1181,2.204955101,1181,2.194413662,
1178,227.195694,1178,22.95599937,1178,6.160235405,1178,2.226829052,1178,2.136395216,
1175,226.8494568,1175,22.94301033,1175,6.159081459,1175,2.258963585,1175,2.169067383,
1172,227.2154083,1172,23.00204277,1172,6.18440485,1172,2.170386076,1172,2.145325184,
1169,227.999115,1169,22.82260513,1169,6.162986279,1169,2.227143049,1169,2.134036541,
1166,228.4449615,1166,22.79673004,1166,6.165012836,1166,2.20650816,1166,2.14861083,
1163,228.5238953,1163,22.68696594,1163,6.206406593,1163,2.194897413,1163,2.13380599,
1160,228.6664276,1160,22.68869209,1160,6.239872456,1160,2.184480906,1160,2.129414558,
1157,228.1096191,1157,22.76784897,1157,6.271249771,1157,2.195727348,1157,2.104108334,
1154,227.7579498,1154,22.70392418,1154,6.210659981,1154,2.199765682,1154,2.156036615,
1151,227.6879578,1151,22.69286728,1151,6.288618088,1151,2.167049646,1151,2.068502665,
1148,228.6313324,1148,22.65339279,1148,6.363223553,1148,2.184624434,1148,2.092512608,
1145,229.181427,1145,22.60937309,1145,6.377810955,1145,2.141089916,1145,2.107756853,
1142,228.7489624,1142,22.62445259,1142,6.297364235,1142,2.167880535,1142,2.084640741,
1139,229.0295563,1139,22.72396469,1139,6.297413826,1139,2.19752574,1139,2.064694166,
1136,228.3078918,1136,22.7423439,1136,6.271547318,1136,2.154993773,1136,2.074314833,
1133,228.3098755,1133,22.66638947,1133,6.303270817,1133,2.189242125,1133,2.077093363,
1130,228.1923828,1130,22.64317322,1130,6.335221291,1130,2.166507721,1130,1.987840414,
1127,228.0532532,1127,22.53397179,1127,6.307783604,1127,2.102885008,1127,2.067083597,
1124,228.5121918,1124,22.47478485,1124,6.226519585,1124,2.128750563,1124,2.022043228,
1121,228.7610474,1121,22.50012589,1121,6.129356861,1121,2.125885963,1121,2.059800625,
1118,228.4740448,1118,22.58193207,1118,6.154248714,1118,2.149523497,1118,2.038232327,
