calibration,,calibration,,
Wavelength (nm),%T,Wavelength (nm),%T,
598,80.10336304,598,80.39282227,
597,80.08059692,597,80.36600494,
596,80.05867004,596,80.34050751,
595,80.0381012,595,80.32437134,
594,80.03011322,594,80.3152771,
593,80.02112579,593,80.28395081,
592,80.01166534,592,80.28279114,
591,79.99906921,591,80.26683807,
590,79.95022583,590,80.22676849,
589,79.90345764,589,80.1831131,
588,79.86427307,588,80.12953949,
587,79.79889679,587,80.06253815,
586,79.76314545,586,80.03440857,
585,79.71411896,585,79.97920227,
584,79.65499878,584,79.90011597,
583,79.59297943,583,79.84671021,
582,79.55574799,582,79.80560303,
581,79.50898743,581,79.75022888,
580,79.45136261,580,79.67765045,
579,79.38530731,579,79.62768555,
578,79.3442688,578,79.58860779,
577,79.30148315,577,79.5269928,
576,79.27893066,576,79.4962616,
575,79.22608185,575,79.45326233,
574,79.20014191,574,79.4093399,
573,79.18495178,573,79.40235901,
572,79.153862,572,79.36726379,
571,79.12386322,571,79.3397522,
570,79.10128021,570,79.29345703,
569,79.17227936,569,79.33018494,
568,79.17328644,568,79.32558441,
567,79.15174866,567,79.32138824,
566,79.14675903,566,79.31390381,
565,79.13090515,565,79.30018616,
564,79.11521149,564,79.27455139,
563,79.10997009,563,79.26500702,
562,79.08399963,562,79.25718689,
561,79.0786972,561,79.23234558,
560,79.04997253,560,79.21403503,
559,79.03529358,559,79.19741058,
558,79.0111084,558,79.17871857,
557,79.00997162,557,79.15909576,
556,78.98749542,556,79.14959717,
555,78.97071838,555,79.12747192,
554,78.95239258,554,79.10182953,
553,78.9262085,553,79.08195496,
552,78.91429901,552,79.07200623,
551,78.8956604,551,79.04587555,
550,78.88988495,550,79.01990509,
549,78.85547638,549,79.0057373,
548,78.84552765,548,78.99582672,
547,78.81557465,547,78.96703339,
546,78.80165863,546,78.94702148,
545,78.77554321,545,78.92926025,
544,78.74035645,544,78.90222931,
543,78.72790527,543,78.87121582,
542,78.69781494,542,78.84879303,
541,78.67559052,541,78.82666779,
540,78.64775848,540,78.80715942,
539,78.6350174,539,78.77471161,
538,78.60431671,538,78.74678802,
537,78.57242584,537,78.71582031,
536,78.55027008,536,78.69139099,
535,78.52568054,535,78.66562653,
534,78.49235535,534,78.63766479,
533,78.45851898,533,78.59992218,
532,78.43712616,532,78.56704712,
531,78.39861298,531,78.53637695,
530,78.36927032,530,78.51018524,
529,78.3374939,529,78.47734833,
528,78.30808258,528,78.43493652,
527,78.26096344,527,78.4100647,
526,78.22507477,526,78.36686707,
525,78.19979858,525,78.35398865,
524,78.17127991,524,78.29708099,
523,78.13021088,523,78.26675415,
522,78.08509827,522,78.24152374,
521,78.05885315,521,78.18984985,
520,78.02169037,520,78.15288544,
519,77.96238708,519,78.10671234,
518,77.93460846,518,78.06275177,
517,77.89297485,517,78.01496124,
516,77.83760834,516,77.97792816,
515,77.79888916,515,77.92740631,
514,77.75836945,514,77.88865662,
513,77.70761871,513,77.83479309,
512,77.65943146,512,77.77812195,
511,77.60112762,511,77.7414093,
510,77.56529999,510,77.67921448,
509,77.51013947,509,77.628479,
508,77.45158386,508,77.57566071,
507,77.39713287,507,77.51728821,
506,77.34738922,506,77.46231842,
505,77.27947235,505,77.39995575,
504,77.21833801,504,77.34249115,
503,77.15946198,503,77.27915955,
502,77.0995636,502,77.22158051,
501,77.03230286,501,77.15116119,
500,76.96695709,500,77.08327484,
499,76.90586853,499,77.01953125,
498,76.83026123,498,76.95038605,
497,76.75460052,497,76.87275696,
496,76.68645477,496,76.80093384,
495,76.59811401,495,76.72216034,
494,76.53133392,494,76.63860321,
493,76.43318176,493,76.54840851,
492,76.35818481,492,76.47491455,
491,76.26455688,491,76.38781738,
490,76.17895508,490,76.28272247,
489,76.07847595,489,76.18973541,
488,75.98760986,488,76.10717773,
487,75.88809967,487,75.99971008,
486,75.77687836,486,75.88916779,
485,75.67704773,485,75.79553223,
484,75.57611084,484,75.68528748,
483,75.45881653,483,75.56600189,
482,75.33489227,482,75.44994354,
481,75.21736908,481,75.32722473,
480,75.08024597,480,75.22016907,
479,74.93032074,479,75.05500031,
478,74.80600739,478,74.90888977,
477,74.67456055,477,74.78160858,
476,74.53317261,476,74.6387558,
475,74.37985992,475,74.49137115,
474,74.23614502,474,74.33946228,
473,74.08614349,473,74.19631195,
472,73.92644501,472,74.03193665,
471,73.75048065,471,73.87046814,
470,73.59043884,470,73.68377686,
469,73.40825653,469,73.51252747,
468,73.22678375,468,73.33197021,
467,73.03884888,467,73.14293671,
466,72.84936523,466,72.94176483,
465,72.64359283,465,72.74871826,
464,72.4294281,464,72.54044342,
463,72.22280884,463,72.31988525,
462,72.00532532,462,72.11225891,
461,71.7674408,461,71.88228607,
460,71.54193115,460,71.64615631,
459,71.29141235,459,71.38049316,
458,71.02531433,458,71.13211823,
457,70.77262115,457,70.86714935,
456,70.50730896,456,70.60272217,
455,70.24449158,455,70.33183289,
454,69.96069336,454,70.06075287,
453,69.67205048,453,69.77516174,
452,69.38262177,452,69.46514893,
451,69.08242035,451,69.17861176,
450,68.75988007,450,68.8633728,
449,68.43808746,449,68.53001404,
448,68.10121155,448,68.1894989,
447,67.77073669,447,67.86195374,
446,67.40827179,446,67.514534,
445,67.04679108,445,67.14976501,
444,66.68322754,444,66.76980591,
443,66.29750061,443,66.39894867,
442,65.91700745,442,66.00998688,
441,65.51461029,441,65.61721802,
440,65.11672974,440,65.21239471,
439,64.69741821,439,64.79688263,
438,64.27206421,438,64.37420654,
437,63.84102631,437,63.93867874,
436,63.39621735,436,63.4937706,
435,62.94546127,435,63.04503632,
434,62.49125671,434,62.58140945,
433,62.00930023,433,62.10169983,
432,61.51420593,432,61.60737228,
431,61.02274704,431,61.12747955,
430,60.53110504,430,60.62144089,
429,60.03130722,429,60.11859894,
428,59.51029587,428,59.6000061,
