Hole,,MnPS3,,CrPS4,,NiPS3,,FePS3,,
Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,
1636,301.5511475,1636,238.4749908,1636,231.253952,1636,363.3994446,1636,182.7663116,
1634,302.2894287,1634,238.251236,1634,233.6899261,1634,363.7072754,1634,182.0599976,
1632,302.7442322,1632,237.1916504,1632,233.9266052,1632,364.5241394,1632,181.6606598,
1630,303.8869019,1630,237.353302,1630,233.6670837,1630,364.8095398,1630,181.7482452,
1628,304.3807678,1628,237.985199,1628,231.5352478,1628,365.486908,1628,182.2860565,
1626,304.5754395,1626,238.7966614,1626,231.5161743,1626,365.5642395,1626,183.2250824,
1624,303.829834,1624,240.207077,1624,232.053894,1624,365.7207642,1624,183.1529541,
1622,304.0958252,1622,240.6059265,1622,233.1910095,1622,365.8531189,1622,183.1927948,
1620,304.5635376,1620,240.6679077,1620,235.7509308,1620,366.1352539,1620,182.6830597,
1618,305.0928345,1618,239.7500305,1618,236.0043335,1618,366.8202515,1618,182.0212097,
1616,306.5376892,1616,239.8626099,1616,235.8323975,1616,367.2865295,1616,182.1876526,
1614,306.9823608,1614,240.1368103,1614,233.8541718,1614,367.8587341,1614,182.6264038,
1612,306.9901428,1612,240.7047729,1612,233.5900116,1612,368.0305481,1612,183.4565125,
1610,306.6245422,1610,242.2036133,1610,234.1877441,1610,368.3348999,1610,183.5873566,
1608,306.5978088,1608,242.1528625,1608,235.1943512,1608,368.4697266,1608,183.6117554,
1606,307.1242676,1606,242.0716705,1606,237.8707123,1606,368.7312317,1606,183.1694946,
1604,307.7758179,1604,240.9905243,1604,238.1702728,1604,369.0142822,1604,182.4064789,
1602,308.9394226,1602,240.9679871,1602,238.054306,1602,369.5393982,1602,182.4668427,
1600,309.3037415,1600,241.3902283,1600,236.3218384,1600,370.2871399,1600,182.8193512,
1598,309.6001282,1598,242.0727234,1598,235.7754669,1598,370.3189697,1598,183.7054749,
1596,309.0431213,1596,243.6375122,1596,236.3405457,1596,370.5171204,1596,183.8710022,
1594,308.977417,1594,244.1009979,1594,237.2996979,1594,370.5241089,1594,183.8196869,
1592,309.4811401,1592,244.1635437,1592,240.0194702,1592,370.7628784,1592,183.3660278,
1590,309.7422485,1590,243.3348694,1590,240.3548279,1590,371.1501465,1590,182.6548767,
1588,311.0054932,1588,243.3794708,1588,240.280838,1588,371.4768372,1588,182.5648193,
1586,311.5106506,1586,243.6684418,1586,238.504364,1586,371.9328918,1586,182.9004059,
1584,311.5899658,1584,243.9494171,1584,237.7429047,1584,372.0740662,1584,183.9410248,
1582,311.0742188,1582,245.2052612,1582,238.2136383,1582,372.1000366,1582,183.9733429,
1580,310.8475342,1580,245.2206573,1580,238.836319,1580,372.0491333,1580,183.8540497,
1578,311.1527405,1578,244.8147278,1578,241.651825,1578,372.0923767,1578,183.4780426,
1576,311.7427063,1576,243.9443054,1576,242.0800018,1576,372.4192505,1576,182.6428833,
1574,312.8111267,1574,243.740799,1574,241.7212067,1574,372.6528625,1574,182.5879669,
1572,313.2213745,1572,244.3001099,1572,240.1584625,1572,373.0588074,1572,182.7278137,
1570,313.2699585,1570,244.7965393,1570,239.0325012,1570,373.1362915,1570,183.5825653,
1568,312.7983704,1568,246.2918091,1568,239.441803,1568,373.0762939,1568,183.8312988,
1566,312.4855652,1566,246.605545,1566,239.8742371,1566,372.880249,1566,183.693512,
1564,312.8985291,1564,246.3050842,1564,242.3227997,1564,372.8179016,1564,183.2805481,
1562,313.4229431,1562,245.3028412,1562,242.9460297,1562,373.1644897,1562,182.3689575,
1560,314.3605347,1560,244.594162,1560,242.6265259,1560,373.1897583,1560,182.1961823,
1558,314.905365,1558,244.8528595,1558,240.9079742,1558,373.4464111,1558,182.2466583,
1556,314.7026672,1556,245.1548157,1556,239.3323975,1556,373.3607178,1556,183.1208191,
1554,314.5379333,1554,246.3178406,1554,239.6822968,1554,373.1848755,1554,183.3383484,
1552,313.8538513,1552,246.6061401,1552,240.1906433,1552,372.8740845,1552,183.2371216,
1550,314.086853,1550,246.8407593,1550,242.3165588,1550,372.6235962,1550,182.8357544,
1548,314.5981445,1548,245.8884735,1548,243.1334229,1548,372.630188,1548,181.7485504,
1546,315.4058533,1546,244.9540863,1546,242.7815399,1546,372.5562134,1546,181.5592041,
1544,315.9752502,1544,245.2470093,1544,241.2133179,1544,372.6617126,1544,181.5793152,
1542,316.1308899,1542,245.5814056,1542,239.4429169,1542,372.509491,1542,182.4324493,
1540,315.757019,1540,246.7467041,1540,239.6106262,1540,372.4906311,1540,182.6126862,
