FePS3_SameGrating2,,
Wavelength (nm),%T,
882,0.3749590516,
881,0.3281606734,
880,0.3775749207,
879,0.3800561428,
878,0.3844891489,
877,0.3705949187,
876,0.3611955643,
875,0.35879457,
874,0.4163189828,
873,0.3833183646,
872,0.3579088449,
871,0.3870764375,
870,0.3493607938,
869,0.3751832843,
868,0.3801535368,
867,0.4077135026,
866,0.4091320932,
865,0.3817926049,
864,0.354899466,
863,0.406860888,
862,0.3916434944,
861,0.3436643779,
860,0.3846214712,
859,0.3584885597,
858,0.3936835229,
857,0.3714261651,
856,0.4250616431,
855,0.3970467448,
854,0.3414264619,
853,0.4250789583,
852,0.3703877926,
851,0.4447289705,
850,0.4124311209,
849,0.4563563168,
848,0.3699907362,
847,0.3120829165,
846,0.4184679687,
845,0.4123780727,
844,0.431992352,
843,0.3839616776,
842,0.4192711413,
841,0.391218245,
840,0.3961814046,
839,0.3813085556,
838,0.4472960234,
837,0.3550373614,
836,0.3842416108,
835,0.4647877216,
834,0.3812226951,
833,0.4235376716,
832,0.355835259,
831,0.4030596912,
830,0.3814837635,
829,0.4262596369,
828,0.3935419023,
827,0.4563593268,
826,0.4362477958,
825,0.3602212965,
824,0.4437880218,
823,0.4664155543,
822,0.3179439902,
821,0.3718783259,
820,0.3604033887,
819,0.4074086547,
818,0.3567086756,
817,0.4016188979,
816,0.4327762425,
815,0.5026338696,
814,0.3994130194,
813,0.3697193265,
812,0.3237118125,
811,0.3911246955,
810,0.3818441927,
809,0.4379711449,
808,0.3907029033,
807,0.4347522259,
806,0.2866899073,
805,0.4436511099,
804,0.487734437,
803,0.4530843794,
802,0.3446481526,
801,0.3267550766,
800,0.4158897698,
799,0.3774576485,
798,0.3409377635,
797,0.4251873493,
796,0.4659987092,
795,0.4216735363,
794,0.4244679511,
793,0.5550978184,
792,0.3397785723,
791,0.3903467059,
790,0.3911868334,
789,0.3117549717,
788,0.5311327577,
787,0.4863458574,
786,0.4990104139,
785,0.4556241035,
784,0.3133152127,
783,0.4278005064,
782,0.2562336922,
781,0.4510934353,
780,0.5082787871,
779,0.5311214924,
778,0.5003483295,
777,0.4831035733,
776,0.3898496628,
775,0.4055014849,
774,0.4116016924,
773,0.4995336831,
772,0.468209058,
771,0.4165953994,
770,0.3256442547,
769,0.3385940194,
768,0.2873494625,
767,0.3693849146,
766,0.4037188292,
765,0.3416673541,
764,0.3504146039,
763,0.4751962125,
762,0.4331953228,
761,0.4424804747,
760,0.4329443574,
759,0.5621306896,
758,0.4170553386,
757,0.4482076168,
756,0.4709627926,
755,0.4365572333,
754,0.4643921256,
753,0.4494784474,
752,0.3373324275,
751,0.4587348998,
750,0.4181703925,
749,0.1792358309,
748,0.1749042124,
747,0.1769006997,
746,0.1753512025,
745,0.1791832447,
744,0.1805895716,
743,0.1795508862,
742,0.1755932271,
741,0.1716544628,
740,0.1760649383,
739,0.1771490872,
738,0.1754357517,
737,0.1777356118,
736,0.1769955009,
735,0.172647953,
734,0.1750139743,
733,0.1782446206,
732,0.1692217886,
731,0.1734151691,
730,0.1726091504,
729,0.1764564365,
728,0.1720976084,
727,0.1700865626,
726,0.1712554544,
725,0.1709767133,
724,0.1717636287,
723,0.1677570343,
722,0.1702313125,
721,0.1726133227,
720,0.169474408,
719,0.1679722965,
718,0.167826876,
717,0.1687299609,
716,0.17141442,
715,0.1695260555,
714,0.1699609309,
713,0.1693841815,
712,0.1676573306,
711,0.1646159589,
710,0.1692222059,
709,0.1696724445,
708,0.1681052297,
707,0.1675962359,
706,0.167275846,
705,0.1655231416,
704,0.1632136703,
703,0.1674290895,
702,0.1628243476,
701,0.1630184501,
700,0.1636802852,
699,0.1648685932,
698,0.1619691849,
697,0.161763981,
696,0.163515687,
695,0.1637920886,
694,0.163008675,
693,0.1617828906,
692,0.1596751511,
691,0.1619219482,
690,0.1604285389,
689,0.1618151069,
688,0.1625216305,
687,0.161504671,
686,0.1604993641,
685,0.1607669592,
684,0.1578944623,
683,0.1597230583,
682,0.1576502621,
681,0.1593681872,
680,0.1581915766,
679,0.1581893712,
678,0.1590064615,
677,0.1565178931,
676,0.1567624509,
675,0.1577744037,
674,0.1566360742,
673,0.1581446081,
672,0.1572056562,
671,0.156295225,
670,0.1568917483,
669,0.1542406231,
668,0.1539634168,
667,0.155466482,
666,0.1570717245,
665,0.1549188048,
664,0.1536805779,
663,0.1525624096,
662,0.1517883092,
661,0.1533505768,
660,0.1545935273,
659,0.1542265862,
658,0.1538835168,
657,0.1511738896,
656,0.1500397027,
655,0.1496601105,
654,0.1492139697,
653,0.151472047,
652,0.1518992186,
651,0.1515830159,
650,0.1491426677,
649,0.1495379806,
648,0.1481705159,
647,0.1490837336,
646,0.149091363,
645,0.1487966627,
644,0.1500333399,
643,0.1500658542,
642,0.1484686136,
641,0.1474399865,
640,0.144919008,
639,0.1476029158,
638,0.1476504654,
637,0.1480056792,
636,0.1474835277,
635,0.144861266,
634,0.1453435868,
633,0.1473392248,
632,0.1455963403,
631,0.147034511,
630,0.1462423354,
629,0.1463605613,
628,0.1453314424,
627,0.1446933895,
626,0.1455350816,
625,0.1464449614,
624,0.145950824,
623,0.1464696527,
622,0.1447164416,
621,0.1435691863,
620,0.1424797177,
619,0.1438879073,
618,0.1436788887,
617,0.1444130838,
616,0.1438226402,
615,0.1437774152,
614,0.1412156522,
613,0.1415743679,
612,0.139476493,
611,0.1411200464,
610,0.141539827,
609,0.140588969,
608,0.1404530555,
607,0.1387759149,
606,0.138693139,
605,0.1369132698,
604,0.1387802958,
603,0.1381365061,
602,0.1377274841,
601,0.1386641711,
600,0.1364904493,
599,0.1341100037,
598,0.1354580522,
597,0.1377045065,
596,0.1380308867,
595,0.137128517,
594,0.1379954219,
593,0.1380265057,
592,0.1361678839,
591,0.1361369342,
590,0.1368909776,
589,0.1365519166,
588,0.1381369978,
587,0.1374944299,
586,0.1367871314,
585,0.1364982575,
584,0.1355434954,
583,0.1341865212,
582,0.137066409,
581,0.1368521303,
580,0.1367329061,
579,0.1336010098,
578,0.1321414411,
577,0.1316160709,
576,0.131129384,
575,0.1316361874,
574,0.131527096,
573,0.1304060966,
572,0.1288918257,
571,0.1268626004,
570,0.1286251992,
569,0.1275325716,
568,0.1251232326,
567,0.1255271584,
566,0.1248187721,
565,0.1247819513,
564,0.1238886863,
563,0.1231555119,
562,0.1242147908,
561,0.1213879585,
560,0.1201929897,
559,0.1201773062,
558,0.1207624227,
557,0.1209434941,
556,0.1214561313,
555,0.121623449,
554,0.1196469665,
553,0.117793642,
552,0.1179688349,
551,0.1175898015,
550,0.1199001223,
549,0.1184364557,
548,0.1191827357,
547,0.117441684,
546,0.1170924306,
545,0.1168022379,
544,0.1165211201,
543,0.1181431711,
542,0.1177018136,
541,0.1170509979,
540,0.1174019799,
539,0.1159735024,
538,0.1158634648,
537,0.1179727837,
536,0.1173707768,
535,0.1186810806,
534,0.1159194186,
533,0.1162501648,
532,0.1173224077,
531,0.1155868769,
530,0.1161509454,
529,0.1178033054,
528,0.1159371138,
527,0.1172912866,
526,0.1148837879,
525,0.1142057031,
524,0.1143963858,
523,0.1148599312,
522,0.1154041961,
521,0.1154781803,
520,0.1157229096,
519,0.1150496081,
518,0.1131188795,
517,0.1139444262,
516,0.1135398075,
515,0.1153949425,
514,0.1153497025,
513,0.1155273318,
512,0.113423869,
511,0.1133361161,
510,0.1129952595,
509,0.1150493622,
508,0.1153863296,
507,0.1159369275,
506,0.1145879626,
505,0.113896586,
504,0.1127813235,
503,0.1131220832,
502,0.1139627546,
501,0.1135566607,
500,0.1142312288,
499,0.1136408672,
498,0.1115917489,
497,0.1132354289,
496,0.1114598215,
495,0.1118949726,
494,0.1147890687,
493,0.1145763546,
492,0.1148031205,
491,0.11359521,
490,0.1125723124,
489,0.1121865362,
488,0.1117220372,
487,0.1116438508,
486,0.1137756631,
485,0.1141222417,
484,0.1139422283,
483,0.1118985936,
482,0.1108806431,
481,0.1116853878,
480,0.1120093986,
479,0.1133648306,
478,0.1131070405,
477,0.1125603244,
476,0.1122495532,
475,0.1137617975,
474,0.1111255139,
473,0.1131922826,
472,0.111898154,
471,0.1119935513,
470,0.1127734557,
469,0.1120067686,
468,0.1123925447,
467,0.1112807095,
466,0.1125964075,
465,0.1135612354,
464,0.1136172563,
463,0.1126312092,
462,0.1120528579,
461,0.1101770923,
460,0.1104503423,
459,0.1103006527,
458,0.1139422283,
457,0.1112652123,
456,0.1125022545,
455,0.1112460643,
454,0.1102274507,
453,0.1120371073,
452,0.1114174575,
451,0.1118399054,
450,0.110548377,
449,0.1119118184,
448,0.1096284464,
447,0.1097661331,
446,0.1096262038,
445,0.1097226292,
444,0.1099382862,
443,0.1113248989,
442,0.111540176,
441,0.1088743433,
440,0.1109703779,
439,0.1082771346,
438,0.1086856723,
437,0.1106865257,
436,0.110285297,
435,0.1102166399,
434,0.1107292026,
433,0.1095978394,
432,0.1084988117,
431,0.1086812466,
430,0.1113390103,
429,0.1091339141,
428,0.1096413136,
427,0.1103781164,
426,0.1083916724,
425,0.1090605259,
424,0.110789828,
423,0.1110847816,
422,0.1106125861,
421,0.1132091656,
420,0.1101445779,
419,0.1097726077,
418,0.1094719842,
417,0.111080721,
416,0.1116929427,
415,0.1133483127,
414,0.111536853,
413,0.1107007116,
412,0.1124444529,
411,0.1105485037,
410,0.1108033732,
409,0.1129087731,
408,0.1129577532,
407,0.1102435067,
406,0.1133489311,
405,0.1114288121,
404,0.1119002551,
403,0.1106160954,
402,0.1121210307,
401,0.1100076735,
400,0.1098638549,

FePS3_SameGrating2,
FePS3_SameGrating2
Collection Time: 16/11/2023 5:39:04 PM
Operator Name  :
Scan Software Version: 4.10(464)
Parameter List :
Instrument                        Cary 5000
Instrument Version                1.12
Start (nm)                        1600.00
Stop (nm)                         400.00
X Mode                            Nanometers
Y Mode                            %T
UV-Vis Scan Rate (nm/min)         600.000
UV-Vis Data Interval (nm)         1.000
UV-Vis Ave. Time (sec)            0.100
UV-Vis SBW (nm)                   2.000
Slit Height                       Full
Beam Mode                         Double
Signal-to-noise Mode              Off
