0 6.92307692 13.8461538 20.7692308 27.6923077
540 1487 1487 1487 1487 1487
540 1523 1523 1523 1523 1523
540 1496 1496 1496 1496 1496
540 1500 1500 1500 1500 1500
540 1501 1501 1501 1501 1501
540 1501 1501 1501 1501 1501
540 1481 1481 1481 1481 1481
540 1497 1497 1497 1497 1497
540 1513 1513 1513 1513 1513
540 1511 1511 1511 1511 1511
540 1504 1504 1504 1504 1504
540 1508 1508 1508 1508 1508
540 1497 1497 1497 1497 1497
540 1493 1493 1493 1493 1493
540 1496 1496 1496 1496 1496
540 1510 1510 1510 1510 1510
540 1500 1500 1500 1500 1500
540 1489 1489 1489 1489 1489
540 1498 1498 1498 1498 1498
540 1499 1499 1499 1499 1499
540 1501 1501 1501 1501 1501
540 1496 1496 1496 1496 1496
540 1510 1510 1510 1510 1510
540 1512 1512 1512 1512 1512
540 1512 1512 1512 1512 1512
540 1521 1521 1521 1521 1521
540 1520 1520 1520 1520 1520
540 1507 1507 1507 1507 1507
540 1524 1524 1524 1524 1524
540 1533 1533 1533 1533 1533
540 1520 1520 1520 1520 1520
540 1518 1518 1518 1518 1518
540 1519 1519 1519 1519 1519
540 1526 1526 1526 1526 1526
540 1536 1536 1536 1536 1536
540 1528 1528 1528 1528 1528
540 1528 1528 1528 1528 1528
540 1526 1526 1526 1526 1526
540 1529 1529 1529 1529 1529
540 1528 1528 1528 1528 1528
540 1540 1540 1540 1540 1540
540 1514 1514 1514 1514 1514
540 1515 1515 1515 1515 1515
540 1508 1508 1508 1508 1508
540 1532 1532 1532 1532 1532
540 1529 1529 1529 1529 1529
540 1527 1527 1527 1527 1527
540 1526 1526 1526 1526 1526
540 1524 1524 1524 1524 1524
540 1532 1532 1532 1532 1532
540 1525 1525 1525 1525 1525
540 1539 1539 1539 1539 1539
540 1541 1541 1541 1541 1541
540 1531 1531 1531 1531 1531
540 1506 1506 1506 1506 1506
540 1510 1510 1510 1510 1510
540 1552 1552 1552 1552 1552
540 1544 1544 1544 1544 1544
540 1535 1535 1535 1535 1535
540 1541 1541 1541 1541 1541
540 1540 1540 1540 1540 1540
540 1535 1535 1535 1535 1535
540 1531 1531 1531 1531 1531
540 1529 1529 1529 1529 1529
540 1544 1544 1544 1544 1544
540 1531 1531 1531 1531 1531
540 1537 1537 1537 1537 1537
540 1532 1532 1532 1532 1532
540 1546 1546 1546 1546 1546
540 1534 1534 1534 1534 1534
541 1531 1531 1531 1531 1531
541 1547 1547 1547 1547 1547
541 1525 1525 1525 1525 1525
541 1546 1546 1546 1546 1546
541 1551 1551 1551 1551 1551
541 1543 1543 1543 1543 1543
541 1529 1529 1529 1529 1529
541 1555 1555 1555 1555 1555
541 1528 1528 1528 1528 1528
541 1517 1517 1517 1517 1517
541 1538 1538 1538 1538 1538
541 1528 1528 1528 1528 1528
541 1532 1532 1532 1532 1532
541 1539 1539 1539 1539 1539
541 1541 1541 1541 1541 1541
541 1510 1510 1510 1510 1510
541 1547 1547 1547 1547 1547
541 1535 1535 1535 1535 1535
541 1525 1525 1525 1525 1525
541 1531 1531 1531 1531 1531
541 1544 1544 1544 1544 1544
541 1538 1538 1538 1538 1538
541 1532 1532 1532 1532 1532
541 1526 1526 1526 1526 1526
541 1523 1523 1523 1523 1523
541 1540 1540 1540 1540 1540
541 1523 1523 1523 1523 1523
541 1515 1515 1515 1515 1515
541 1525 1525 1525 1525 1525
541 1526 1526 1526 1526 1526
541 1526 1526 1526 1526 1526
541 1523 1523 1523 1523 1523
541 1523 1523 1523 1523 1523
